[2025-05-31T17:05:04.454+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T17:05:04.471+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:00:00+00:00 [queued]>
[2025-05-31T17:05:04.481+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:00:00+00:00 [queued]>
[2025-05-31T17:05:04.482+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T17:05:04.501+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 17:00:00+00:00
[2025-05-31T17:05:04.511+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1013) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T17:05:04.513+0000] {standard_task_runner.py:72} INFO - Started process 1014 to run task
[2025-05-31T17:05:04.511+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T17:00:00+00:00', '--job-id', '226', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpdio205mv']
[2025-05-31T17:05:04.514+0000] {standard_task_runner.py:105} INFO - Job 226: Subtask start_log_producer
[2025-05-31T17:05:04.535+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:05:04.574+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:00:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T17:05:04.576+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:05:04.676+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T17:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T17:00:00+00:00'
[2025-05-31T17:05:04.678+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T17:05:04.695+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T17:05:04.697+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T17:05:04.705+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T17:05:05.374+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:05:05', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:05:07.478+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:05:07', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:05:09.478+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:05:09', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:05:11.479+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:05:11', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:05:13.479+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:05:13', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:05:15.479+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:05:15', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:05:17.480+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:05:17', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:05:19.480+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:05:19', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:05:21.481+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:05:21', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:05:23.481+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:05:23', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:05:25.482+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:05:25', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:05:27.482+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:05:27', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:05:29.483+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:05:29', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:05:31.483+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:05:31', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:05:33.482+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:05:33', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:05:35.483+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:05:35', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:05:37.483+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:05:37', 'level': 'INFO', 'message': 'User logged in'}
