[2025-05-31T17:25:52.538+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T17:25:52.602+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:00:00+00:00 [queued]>
[2025-05-31T17:25:52.613+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:00:00+00:00 [queued]>
[2025-05-31T17:25:52.614+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 2
[2025-05-31T17:25:52.789+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 17:00:00+00:00
[2025-05-31T17:25:52.797+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1095) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T17:25:52.799+0000] {standard_task_runner.py:72} INFO - Started process 1099 to run task
[2025-05-31T17:25:52.798+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T17:00:00+00:00', '--job-id', '232', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpvnn5p1v3']
[2025-05-31T17:25:52.803+0000] {standard_task_runner.py:105} INFO - Job 232: Subtask start_log_producer
[2025-05-31T17:25:52.887+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:25:52.931+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:00:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T17:25:52.934+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:25:53.081+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T17:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T17:00:00+00:00'
[2025-05-31T17:25:53.082+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T17:25:53.101+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T17:25:53.244+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T17:25:53.254+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T17:25:55.405+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:55', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:25:57.585+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:57', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:25:59.585+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:59', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:01.771+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:01', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:26:03.772+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:03', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:05.773+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:05', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:26:07.773+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:07', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:26:09.773+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:09', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:11.774+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:11', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:26:13.775+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:13', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:15.771+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:15', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:26:17.772+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:17', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:26:19.820+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:19', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:21.820+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:21', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:26:23.897+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:23', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:26:25.898+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:25', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:27.898+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:27', 'level': 'WARNING', 'message': 'Slow response time'}
