[2025-05-31T17:24:37.125+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T17:24:37.144+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:05:00+00:00 [queued]>
[2025-05-31T17:24:37.155+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:05:00+00:00 [queued]>
[2025-05-31T17:24:37.156+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T17:24:37.175+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 17:05:00+00:00
[2025-05-31T17:24:37.185+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1072) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T17:24:37.184+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T17:05:00+00:00', '--job-id', '228', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpwsr_agtt']
[2025-05-31T17:24:37.186+0000] {standard_task_runner.py:72} INFO - Started process 1077 to run task
[2025-05-31T17:24:37.187+0000] {standard_task_runner.py:105} INFO - Job 228: Subtask start_log_producer
[2025-05-31T17:24:37.299+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:24:37.377+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:05:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T17:24:37.380+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:24:37.581+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T17:05:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T17:05:00+00:00'
[2025-05-31T17:24:37.582+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T17:24:37.609+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T17:24:37.610+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T17:24:37.622+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T17:24:40.667+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:40', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:24:42.879+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:42', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:24:44.878+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:44', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:24:46.879+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:46', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:24:48.879+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:48', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:24:50.880+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:50', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:24:52.906+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:52', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:24:54.907+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:54', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:24:56.907+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:56', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:24:58.907+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:58', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:25:00.908+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:00', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:25:02.908+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:02', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:25:04.998+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:04', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:25:06.998+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:06', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:25:09.069+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:09', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:25:11.646+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:11', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:25:13.650+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:13', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:25:15.615+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:15', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:25:17.615+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:17', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:25:19.616+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:19', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:25:21.657+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:21', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:25:23.658+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:23', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:25:25.664+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:25', 'level': 'ERROR', 'message': 'Database connection failed'}
