[2025-05-31T17:24:36.765+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T17:24:36.779+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:15:00+00:00 [queued]>
[2025-05-31T17:24:36.787+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:15:00+00:00 [queued]>
[2025-05-31T17:24:36.788+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T17:24:36.805+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 17:15:00+00:00
[2025-05-31T17:24:36.812+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1071) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T17:24:36.813+0000] {standard_task_runner.py:72} INFO - Started process 1075 to run task
[2025-05-31T17:24:36.812+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T17:15:00+00:00', '--job-id', '227', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp6g54wsu5']
[2025-05-31T17:24:36.814+0000] {standard_task_runner.py:105} INFO - Job 227: Subtask start_log_producer
[2025-05-31T17:24:36.831+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:24:36.874+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:15:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T17:24:36.876+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:24:37.257+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T17:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T17:15:00+00:00'
[2025-05-31T17:24:37.264+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T17:24:37.310+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T17:24:37.313+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T17:24:37.330+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T17:24:40.574+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:40', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:24:42.902+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:42', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:24:44.956+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:44', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:24:46.962+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:46', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:24:48.962+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:48', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:24:50.983+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:50', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:24:53.062+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:53', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:24:55.063+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:55', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:24:57.063+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:57', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:24:59.074+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:24:59', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:25:01.075+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:01', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:25:03.075+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:03', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:25:05.096+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:05', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:25:07.096+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:07', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:25:09.113+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:09', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:25:11.109+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:11', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:25:13.109+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:13', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:25:15.210+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:15', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:25:17.294+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:17', 'level': 'WARNING', 'message': 'Slow response time'}
