[2025-05-31T17:25:35.167+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T17:25:35.183+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:20:00+00:00 [queued]>
[2025-05-31T17:25:35.192+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:20:00+00:00 [queued]>
[2025-05-31T17:25:35.192+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T17:25:35.212+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 17:20:00+00:00
[2025-05-31T17:25:35.223+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1086) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T17:25:35.225+0000] {standard_task_runner.py:72} INFO - Started process 1089 to run task
[2025-05-31T17:25:35.223+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T17:20:00+00:00', '--job-id', '229', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp1suseuwl']
[2025-05-31T17:25:35.226+0000] {standard_task_runner.py:105} INFO - Job 229: Subtask start_log_producer
[2025-05-31T17:25:35.444+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:25:45.216+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:20:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T17:25:45.218+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:25:46.357+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T17:20:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T17:20:00+00:00'
[2025-05-31T17:25:46.358+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T17:25:46.376+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T17:25:46.377+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T17:25:46.388+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T17:25:49.077+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:49', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:25:51.213+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:51', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:25:53.213+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:53', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:25:55.214+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:55', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:25:57.214+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:57', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:25:59.215+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:25:59', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:26:01.216+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:01', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:26:03.216+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:03', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:05.217+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:05', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:26:07.218+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:07', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:26:09.218+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:09', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:26:11.219+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:11', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:26:13.219+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:13', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:15.216+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:15', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:17.216+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:17', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:26:19.217+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:19', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:26:21.331+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:21', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:26:23.332+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:23', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:26:25.332+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:25', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:26:27.333+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:27', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:26:29.459+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:29', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:31.510+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:31', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:26:33.510+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:33', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:26:35.575+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:35', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:26:37.638+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:37', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:26:39.765+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:39', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:26:41.800+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:41', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:26:43.803+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:43', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:45.800+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:45', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:26:47.870+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:47', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:26:50.077+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:50', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:26:52.264+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:52', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:26:54.497+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:54', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:26:56.559+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:56', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:26:58.489+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:26:58', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:27:00.536+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:00', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:27:02.613+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:02', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:27:04.772+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:04', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:27:06.971+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:27:06', 'level': 'WARNING', 'message': 'Slow response time'}
