[2025-05-31T17:30:12.166+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T17:30:12.184+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:25:00+00:00 [queued]>
[2025-05-31T17:30:12.194+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:25:00+00:00 [queued]>
[2025-05-31T17:30:12.201+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T17:30:12.289+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 17:25:00+00:00
[2025-05-31T17:30:12.314+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1148) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T17:30:12.316+0000] {standard_task_runner.py:72} INFO - Started process 1154 to run task
[2025-05-31T17:30:12.313+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T17:25:00+00:00', '--job-id', '234', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpgx3w7mze']
[2025-05-31T17:30:12.317+0000] {standard_task_runner.py:105} INFO - Job 234: Subtask start_log_producer
[2025-05-31T17:30:12.455+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:30:12.504+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:25:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T17:30:12.506+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:30:12.620+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T17:25:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T17:25:00+00:00'
[2025-05-31T17:30:12.621+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T17:30:12.643+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T17:30:12.645+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T17:30:12.654+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T17:30:13.739+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:30:13', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:30:15.843+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:30:15', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:30:17.843+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:30:17', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:30:19.844+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:30:19', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:30:21.844+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:30:21', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:30:23.845+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:30:23', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:30:25.845+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:30:25', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:30:27.846+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:30:27', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:30:29.846+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:30:29', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:30:31.847+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:30:31', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:30:33.847+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:30:33', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:30:35.847+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:30:35', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:30:37.848+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:30:37', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:30:39.848+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:30:39', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:30:41.849+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:30:41', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:30:43.849+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:30:43', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:30:45.848+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:30:45', 'level': 'INFO', 'message': 'Search executed'}
