[2025-05-31T17:35:10.890+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T17:35:10.907+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:30:00+00:00 [queued]>
[2025-05-31T17:35:10.915+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:30:00+00:00 [queued]>
[2025-05-31T17:35:10.916+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T17:35:10.935+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 17:30:00+00:00
[2025-05-31T17:35:10.944+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1203) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T17:35:10.946+0000] {standard_task_runner.py:72} INFO - Started process 1204 to run task
[2025-05-31T17:35:10.944+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T17:30:00+00:00', '--job-id', '235', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpi8gsz0vc']
[2025-05-31T17:35:10.947+0000] {standard_task_runner.py:105} INFO - Job 235: Subtask start_log_producer
[2025-05-31T17:35:10.981+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:35:11.018+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:30:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T17:35:11.020+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:35:11.115+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T17:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T17:30:00+00:00'
[2025-05-31T17:35:11.116+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T17:35:11.132+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T17:35:11.173+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T17:35:11.184+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T17:35:11.991+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:35:11', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:35:14.095+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:35:14', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:35:16.095+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:35:16', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:35:18.096+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:35:18', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:35:20.097+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:35:20', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:35:22.097+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:35:22', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:35:24.098+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:35:24', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:35:26.098+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:35:26', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:35:28.099+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:35:28', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:35:30.099+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:35:30', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:35:32.100+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:35:32', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:35:34.100+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:35:34', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:35:36.100+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:35:36', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:35:38.101+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:35:38', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:35:40.101+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:35:40', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:35:42.102+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:35:42', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:35:44.102+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:35:44', 'level': 'WARNING', 'message': 'High memory usage'}
