[2025-05-31T17:47:21.835+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T17:47:21.955+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:35:00+00:00 [queued]>
[2025-05-31T17:47:21.968+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:35:00+00:00 [queued]>
[2025-05-31T17:47:21.969+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T17:47:22.586+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 17:35:00+00:00
[2025-05-31T17:47:22.651+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1229) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T17:47:22.653+0000] {standard_task_runner.py:72} INFO - Started process 1240 to run task
[2025-05-31T17:47:22.651+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T17:35:00+00:00', '--job-id', '236', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp6bsux1sy']
[2025-05-31T17:47:22.654+0000] {standard_task_runner.py:105} INFO - Job 236: Subtask start_log_producer
[2025-05-31T17:47:23.509+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:47:33.789+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T17:35:00+00:00 [running]> on host 1d31c4e9dbe9
[2025-05-31T17:47:33.923+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T17:47:45.910+0000] {job.py:229} INFO - Heartbeat recovered after 27.99 seconds
[2025-05-31T17:48:24.478+0000] {job.py:229} INFO - Heartbeat recovered after 43.17 seconds
[2025-05-31T17:48:43.332+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T17:35:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T17:35:00+00:00'
[2025-05-31T17:48:48.307+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T17:48:55.748+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T17:48:55.881+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T17:48:56.121+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T17:49:15.718+0000] {job.py:229} INFO - Heartbeat recovered after 51.92 seconds
[2025-05-31T17:49:17.051+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:17', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:49:19.157+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:19', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:49:21.157+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:21', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:49:23.158+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:23', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:49:25.248+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:25', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:49:27.177+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:27', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:49:29.177+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:29', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:49:31.177+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:31', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:49:33.178+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:33', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:49:35.178+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:35', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:49:37.179+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:37', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:49:39.179+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:39', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:49:41.179+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:41', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:49:43.180+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:43', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:49:45.181+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:45', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:49:47.181+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:47', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:49:49.182+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:49', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:49:51.182+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:51', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:49:53.183+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:53', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:49:55.183+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:55', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:49:57.088+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:57', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:49:59.088+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:49:59', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T17:50:01.089+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:50:01', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:50:03.090+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:50:03', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:50:05.091+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:50:05', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T17:50:07.092+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:50:07', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T17:50:09.092+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:50:09', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:50:11.093+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:50:11', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T17:50:13.093+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:50:13', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T17:50:15.094+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:50:15', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:50:17.094+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:50:17', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:50:19.095+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:50:19', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T17:50:21.095+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:50:21', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T17:50:23.096+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 17:50:23', 'level': 'INFO', 'message': 'Search executed'}
