[2025-05-31T19:10:09.047+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T19:10:11.010+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:05:00+00:00 [queued]>
[2025-05-31T19:10:11.169+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:05:00+00:00 [queued]>
[2025-05-31T19:10:11.170+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T19:10:11.199+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 19:05:00+00:00
[2025-05-31T19:10:12.273+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=251) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T19:10:12.274+0000] {standard_task_runner.py:72} INFO - Started process 252 to run task
[2025-05-31T19:10:12.533+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T19:05:00+00:00', '--job-id', '6', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp1z5r4g5f']
[2025-05-31T19:10:12.536+0000] {standard_task_runner.py:105} INFO - Job 6: Subtask start_log_producer
[2025-05-31T19:10:13.792+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:10:23.849+0000] {job.py:229} INFO - Heartbeat recovered after 17.87 seconds
[2025-05-31T19:10:25.187+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:05:00+00:00 [running]> on host e2dbb2db3fac
[2025-05-31T19:10:25.338+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:10:34.753+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T19:05:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T19:05:00+00:00'
[2025-05-31T19:10:34.783+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T19:10:40.142+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T19:10:40.628+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T19:10:42.832+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T19:11:08.413+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:08', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:11:11.001+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:11', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:11:13.001+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:13', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:11:15.001+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:15', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:11:17.002+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:17', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:11:19.000+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:19', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:11:21.001+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:21', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:11:23.001+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:23', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:11:25.002+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:25', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:11:27.002+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:27', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:11:29.003+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:29', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:11:31.004+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:31', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:11:33.005+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:33', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:11:35.153+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:35', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:11:37.154+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:37', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:11:39.155+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:39', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:11:41.155+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:41', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:11:43.156+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:43', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:11:45.156+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:45', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:11:47.157+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:47', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:11:49.156+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:49', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:11:51.156+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:51', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:11:53.157+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:53', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:11:55.157+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:55', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:11:57.158+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:57', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:11:59.158+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:11:59', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:12:01.159+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:12:01', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:12:03.160+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:12:03', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:12:05.160+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:12:05', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:12:07.161+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:12:07', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:12:09.161+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:12:09', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:12:11.161+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:12:11', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:12:13.162+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:12:13', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:12:15.163+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:12:15', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:12:17.164+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:12:17', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:12:19.162+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:12:19', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:12:21.163+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:12:21', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:12:21.732+0000] {local_task_job_runner.py:127} ERROR - Received SIGTERM. Terminating subprocesses
[2025-05-31T19:12:23.755+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:12:23', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:12:26.566+0000] {process_utils.py:132} INFO - Sending 15 to group 252. PIDs of all processes in the group: [257, 252]
[2025-05-31T19:12:26.802+0000] {process_utils.py:87} INFO - Sending the signal 15 to group 252
[2025-05-31T19:12:27.172+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:12:26', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
