[2025-05-31T19:18:37.502+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T19:18:37.525+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:10:00+00:00 [queued]>
[2025-05-31T19:18:37.539+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:10:00+00:00 [queued]>
[2025-05-31T19:18:37.540+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T19:18:37.563+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 19:10:00+00:00
[2025-05-31T19:18:37.710+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=171) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T19:18:37.712+0000] {standard_task_runner.py:72} INFO - Started process 176 to run task
[2025-05-31T19:18:37.712+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T19:10:00+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpaa5532bf']
[2025-05-31T19:18:37.716+0000] {standard_task_runner.py:105} INFO - Job 8: Subtask start_log_producer
[2025-05-31T19:18:37.822+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:18:38.130+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:10:00+00:00 [running]> on host fcc5407a0544
[2025-05-31T19:18:38.132+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:18:38.571+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T19:10:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T19:10:00+00:00'
[2025-05-31T19:18:38.572+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T19:18:38.593+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T19:18:38.595+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T19:18:38.930+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T19:18:41.803+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:18:41', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:18:43.324+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:18:43', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:18:44.324+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:18:44', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:18:45.325+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:18:45', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:18:46.325+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:18:46', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:18:47.326+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:18:47', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:18:48.326+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:18:48', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:18:49.327+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:18:49', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:18:50.720+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:18:50', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:18:51.721+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:18:51', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:18:52.721+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:18:52', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:18:53.722+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:18:53', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:18:54.722+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:18:54', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:18:55.723+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:18:55', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:18:56.723+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:18:56', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:18:57.724+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:18:57', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:18:58.724+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:18:58', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
