[2025-05-31T19:20:00.595+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T19:20:00.614+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:15:00+00:00 [queued]>
[2025-05-31T19:20:00.623+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:15:00+00:00 [queued]>
[2025-05-31T19:20:00.624+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T19:20:00.642+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 19:15:00+00:00
[2025-05-31T19:20:00.702+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=193) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T19:20:00.701+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T19:15:00+00:00', '--job-id', '10', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpogi99pc4']
[2025-05-31T19:20:00.703+0000] {standard_task_runner.py:72} INFO - Started process 194 to run task
[2025-05-31T19:20:00.704+0000] {standard_task_runner.py:105} INFO - Job 10: Subtask start_log_producer
[2025-05-31T19:20:00.823+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:20:00.887+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:15:00+00:00 [running]> on host fcc5407a0544
[2025-05-31T19:20:00.889+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:20:01.037+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T19:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T19:15:00+00:00'
[2025-05-31T19:20:01.039+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T19:20:01.059+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T19:20:01.060+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T19:20:01.069+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T19:20:01.771+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:01', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:20:02.879+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:02', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:20:03.880+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:03', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:20:04.881+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:04', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:20:05.881+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:05', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:20:06.881+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:06', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:20:07.882+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:07', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:20:08.882+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:08', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:20:09.883+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:09', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:20:10.883+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:10', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:20:11.884+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:11', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:20:12.884+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:12', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:20:13.885+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:13', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:20:14.885+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:14', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:20:15.886+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:15', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:20:16.886+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:16', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:20:17.887+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:17', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:20:18.887+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:18', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:20:19.888+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:19', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:20:20.885+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:20', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:20:21.885+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:21', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:20:22.886+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:22', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:20:23.886+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:23', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:20:24.887+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:24', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:20:25.887+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:25', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:20:26.888+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:26', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:20:27.889+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:27', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:20:28.889+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:28', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:20:29.890+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:29', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:20:31.114+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:31', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:20:32.115+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:32', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:20:33.116+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:20:33', 'level': 'WARNING', 'message': 'Slow response time'}
