[2025-05-31T19:25:18.562+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T19:25:18.580+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:20:00+00:00 [queued]>
[2025-05-31T19:25:18.588+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:20:00+00:00 [queued]>
[2025-05-31T19:25:18.589+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T19:25:18.611+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 19:20:00+00:00
[2025-05-31T19:25:18.848+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T19:20:00+00:00', '--job-id', '13', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpayjz3y36']
[2025-05-31T19:25:19.193+0000] {standard_task_runner.py:105} INFO - Job 13: Subtask start_log_producer
[2025-05-31T19:25:19.287+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=252) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T19:25:19.288+0000] {standard_task_runner.py:72} INFO - Started process 254 to run task
[2025-05-31T19:25:19.331+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:25:20.665+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:20:00+00:00 [running]> on host fcc5407a0544
[2025-05-31T19:25:20.667+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:25:20.911+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T19:20:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T19:20:00+00:00'
[2025-05-31T19:25:20.912+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T19:25:20.933+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T19:25:20.935+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T19:25:20.949+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T19:25:29.888+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:29', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:25:31.057+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:31', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:25:33.803+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:32', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:25:33.805+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:33', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:25:34.059+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:34', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:25:34.208+0000] {job.py:229} INFO - Heartbeat recovered after 16.28 seconds
[2025-05-31T19:25:35.067+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:35', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:25:36.314+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:36', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:25:37.314+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:37', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:25:38.315+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:38', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:25:39.315+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:39', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:25:40.316+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:40', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:25:41.481+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:41', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:25:41.571+0000] {job.py:229} INFO - Heartbeat recovered after 16.51 seconds
[2025-05-31T19:25:42.481+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:42', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:25:43.514+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:43', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:25:44.599+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:44', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:25:45.599+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:45', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:25:46.600+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:46', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:25:47.600+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:47', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:25:48.601+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:48', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:25:49.601+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:49', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:25:50.602+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:50', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:25:51.601+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:51', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:25:52.602+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:52', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:25:53.603+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:53', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:25:54.603+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:54', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:25:55.603+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:55', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:25:56.604+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:56', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:25:57.604+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:57', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:25:58.605+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:58', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:25:59.606+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:25:59', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:26:00.607+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:26:00', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:26:01.607+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:26:01', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:26:02.608+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:26:02', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:26:03.608+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:26:03', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:26:04.609+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:26:04', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:26:05.609+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:26:05', 'level': 'WARNING', 'message': 'High memory usage'}
