[2025-05-31T19:30:03.735+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T19:30:03.768+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:25:00+00:00 [queued]>
[2025-05-31T19:30:03.796+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:25:00+00:00 [queued]>
[2025-05-31T19:30:03.797+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T19:30:03.898+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 19:25:00+00:00
[2025-05-31T19:30:03.970+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=319) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T19:30:03.972+0000] {standard_task_runner.py:72} INFO - Started process 324 to run task
[2025-05-31T19:30:03.971+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T19:25:00+00:00', '--job-id', '19', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpqoy9zbv9']
[2025-05-31T19:30:03.975+0000] {standard_task_runner.py:105} INFO - Job 19: Subtask start_log_producer
[2025-05-31T19:30:04.003+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:30:04.056+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:25:00+00:00 [running]> on host fcc5407a0544
[2025-05-31T19:30:04.058+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:30:04.236+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T19:25:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T19:25:00+00:00'
[2025-05-31T19:30:04.377+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T19:30:04.399+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T19:30:04.400+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T19:30:04.433+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T19:30:06.048+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:06', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:30:07.153+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:07', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:30:08.154+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:08', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:30:09.155+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:09', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:30:10.161+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:10', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:30:11.161+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:11', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:30:12.162+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:12', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:30:13.163+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:13', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:30:14.163+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:14', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:30:15.164+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:15', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:30:16.164+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:16', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:30:17.165+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:17', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:30:18.165+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:18', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:30:19.166+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:19', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:30:20.166+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:20', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:30:21.166+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:21', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:30:22.228+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:22', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:30:23.228+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:23', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:30:24.229+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:24', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:30:25.229+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:25', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:30:26.230+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:26', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:30:27.230+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:27', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:30:28.231+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:28', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:30:29.231+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:29', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:30:30.232+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:30', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:30:31.232+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:31', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:30:32.233+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:32', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:30:33.234+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:33', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:30:34.234+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:34', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:30:35.234+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:35', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:30:36.235+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:36', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:30:37.235+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:37', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:30:38.236+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:38', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:30:39.236+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:39', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:30:40.237+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:40', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:30:41.237+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:41', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:30:42.238+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:30:42', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
