[2025-05-31T19:35:01.276+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T19:35:01.293+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:30:00+00:00 [queued]>
[2025-05-31T19:35:01.302+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:30:00+00:00 [queued]>
[2025-05-31T19:35:01.303+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T19:35:01.321+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 19:30:00+00:00
[2025-05-31T19:35:01.329+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=393) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T19:35:01.331+0000] {standard_task_runner.py:72} INFO - Started process 394 to run task
[2025-05-31T19:35:01.329+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T19:30:00+00:00', '--job-id', '25', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpd81o4s8b']
[2025-05-31T19:35:01.332+0000] {standard_task_runner.py:105} INFO - Job 25: Subtask start_log_producer
[2025-05-31T19:35:01.351+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:35:01.392+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:30:00+00:00 [running]> on host fcc5407a0544
[2025-05-31T19:35:01.394+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:35:01.481+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T19:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T19:30:00+00:00'
[2025-05-31T19:35:01.483+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T19:35:01.502+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T19:35:01.503+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T19:35:01.512+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T19:35:02.196+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:02', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:35:03.302+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:03', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:35:04.302+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:04', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:35:05.303+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:05', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:35:06.303+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:06', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:35:07.304+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:07', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:35:08.304+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:08', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:35:09.304+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:09', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:35:10.305+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:10', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:35:11.305+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:11', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:35:12.306+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:12', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:35:13.306+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:13', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:35:14.307+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:14', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:35:15.307+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:15', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:35:16.308+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:16', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:35:17.308+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:17', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:35:18.309+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:18', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:35:19.309+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:19', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:35:20.310+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:20', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:35:21.178+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:21', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:35:22.179+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:22', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:35:23.179+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:23', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:35:24.180+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:24', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:35:25.180+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:35:25', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
