[2025-05-31T19:40:01.498+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T19:40:01.514+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:35:00+00:00 [queued]>
[2025-05-31T19:40:01.523+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:35:00+00:00 [queued]>
[2025-05-31T19:40:01.524+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T19:40:01.542+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 19:35:00+00:00
[2025-05-31T19:40:01.550+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=448) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T19:40:01.549+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T19:35:00+00:00', '--job-id', '26', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp_7nt08z9']
[2025-05-31T19:40:01.552+0000] {standard_task_runner.py:72} INFO - Started process 449 to run task
[2025-05-31T19:40:01.552+0000] {standard_task_runner.py:105} INFO - Job 26: Subtask start_log_producer
[2025-05-31T19:40:01.571+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:40:01.610+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:35:00+00:00 [running]> on host fcc5407a0544
[2025-05-31T19:40:01.612+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:40:01.703+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T19:35:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T19:35:00+00:00'
[2025-05-31T19:40:01.704+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T19:40:01.724+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T19:40:01.726+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T19:40:01.737+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T19:40:02.441+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:02', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:40:03.546+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:03', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:40:04.546+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:04', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:40:05.547+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:05', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:40:06.547+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:06', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:40:07.547+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:07', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:40:08.548+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:08', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:40:09.548+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:09', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:40:10.549+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:10', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:40:11.549+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:11', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:40:12.550+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:12', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:40:13.550+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:13', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:40:14.551+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:14', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:40:15.551+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:15', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:40:16.551+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:16', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:40:17.552+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:17', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:40:18.552+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:18', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:40:19.553+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:19', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:40:20.553+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:20', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:40:21.553+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:21', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:40:22.553+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:22', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:40:23.554+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:23', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:40:24.554+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:24', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:40:25.555+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:25', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:40:26.555+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:26', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:40:27.555+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:27', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:40:28.556+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:28', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:40:29.556+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:29', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:40:30.557+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:30', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:40:31.557+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:31', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:40:32.558+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:32', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:40:33.558+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:33', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:40:34.558+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:34', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:40:35.559+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:35', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:40:36.559+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:36', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:40:37.560+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:37', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:40:38.560+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:38', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:40:39.560+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:39', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:40:40.561+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:40', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:40:41.561+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:41', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:40:42.562+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:42', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:40:43.562+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:43', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:40:44.563+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:44', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:40:45.563+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:45', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:40:46.563+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:46', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:40:47.564+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:47', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:40:48.565+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:48', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:40:49.565+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:49', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:40:50.566+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:50', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:40:51.565+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:51', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:40:52.566+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:52', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:40:53.566+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:53', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:40:54.567+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:54', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:40:55.567+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:55', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:40:56.567+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:56', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:40:57.568+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:57', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:40:58.568+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:58', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:40:59.569+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:40:59', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:41:00.569+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:00', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:41:01.569+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:01', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:41:02.570+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:02', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:41:03.570+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:03', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:41:04.571+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:04', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:41:05.571+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:05', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:41:06.571+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:06', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:41:07.572+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:07', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:41:08.572+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:08', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:41:09.573+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:09', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:41:10.573+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:10', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:41:11.573+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:11', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:41:12.574+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:12', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:41:13.574+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:13', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:41:14.575+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:14', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:41:15.575+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:15', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:41:16.576+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:16', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:41:17.577+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:17', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:41:18.577+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:18', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:41:19.578+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:19', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:41:20.578+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:20', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:41:21.577+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:21', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:41:22.578+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:22', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:41:23.578+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:23', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:41:24.578+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:24', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:41:25.579+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:25', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:41:26.579+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:26', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:41:27.580+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:27', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:41:28.580+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:28', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:41:29.581+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:29', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:41:30.581+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:30', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:41:31.581+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:31', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:41:32.582+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:32', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:41:33.582+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:33', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:41:34.582+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:34', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:41:35.583+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:35', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:41:36.583+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:36', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:41:37.584+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:37', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:41:38.584+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:41:38', 'level': 'INFO', 'message': 'Page loaded'}
