[2025-05-31T19:45:00.635+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T19:45:00.652+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:40:00+00:00 [queued]>
[2025-05-31T19:45:00.660+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:40:00+00:00 [queued]>
[2025-05-31T19:45:00.661+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T19:45:00.678+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 19:40:00+00:00
[2025-05-31T19:45:00.687+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=503) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T19:45:00.689+0000] {standard_task_runner.py:72} INFO - Started process 504 to run task
[2025-05-31T19:45:00.687+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T19:40:00+00:00', '--job-id', '27', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp8djeamje']
[2025-05-31T19:45:00.690+0000] {standard_task_runner.py:105} INFO - Job 27: Subtask start_log_producer
[2025-05-31T19:45:00.711+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:45:00.756+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:40:00+00:00 [running]> on host fcc5407a0544
[2025-05-31T19:45:00.758+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:45:00.880+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T19:40:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T19:40:00+00:00'
[2025-05-31T19:45:00.881+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T19:45:00.900+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T19:45:00.902+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T19:45:00.915+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T19:45:01.611+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:45:01', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:45:02.716+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:45:02', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:45:03.717+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:45:03', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:45:04.717+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:45:04', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:45:05.717+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:45:05', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:45:06.718+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:45:06', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:45:07.718+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:45:07', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:45:08.719+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:45:08', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:45:09.719+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:45:09', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:45:10.719+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:45:10', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:45:11.720+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:45:11', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:45:12.720+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:45:12', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:45:13.721+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:45:13', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:45:14.721+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:45:14', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:45:15.722+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:45:15', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:45:16.722+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:45:16', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:45:17.723+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:45:17', 'level': 'WARNING', 'message': 'Slow response time'}
