[2025-05-31T19:50:00.955+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T19:50:00.976+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:45:00+00:00 [queued]>
[2025-05-31T19:50:00.988+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:45:00+00:00 [queued]>
[2025-05-31T19:50:00.989+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T19:50:01.011+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 19:45:00+00:00
[2025-05-31T19:50:01.021+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=558) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T19:50:01.020+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T19:45:00+00:00', '--job-id', '28', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpd3hiigkn']
[2025-05-31T19:50:01.023+0000] {standard_task_runner.py:72} INFO - Started process 559 to run task
[2025-05-31T19:50:01.024+0000] {standard_task_runner.py:105} INFO - Job 28: Subtask start_log_producer
[2025-05-31T19:50:01.045+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:50:01.229+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:45:00+00:00 [running]> on host fcc5407a0544
[2025-05-31T19:50:01.232+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:50:01.906+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T19:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T19:45:00+00:00'
[2025-05-31T19:50:01.909+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T19:50:01.955+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T19:50:01.957+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T19:50:01.971+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T19:50:04.550+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:50:04', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:50:05.654+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:50:05', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:50:06.655+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:50:06', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:50:07.655+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:50:07', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:50:08.656+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:50:08', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:50:09.656+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:50:09', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:50:10.657+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:50:10', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:50:11.657+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:50:11', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:50:12.658+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:50:12', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:50:13.658+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:50:13', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:50:14.658+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:50:14', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:50:15.659+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:50:15', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:50:16.659+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:50:16', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:50:17.660+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:50:17', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:50:18.660+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:50:18', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:50:19.661+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:50:19', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:50:20.661+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:50:20', 'level': 'INFO', 'message': 'User logged in'}
