[2025-05-31T19:55:00.986+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T19:55:01.008+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:50:00+00:00 [queued]>
[2025-05-31T19:55:01.018+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:50:00+00:00 [queued]>
[2025-05-31T19:55:01.020+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T19:55:01.038+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 19:50:00+00:00
[2025-05-31T19:55:01.050+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=608) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T19:55:01.049+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T19:50:00+00:00', '--job-id', '29', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpwzew7xrf']
[2025-05-31T19:55:01.053+0000] {standard_task_runner.py:72} INFO - Started process 609 to run task
[2025-05-31T19:55:01.053+0000] {standard_task_runner.py:105} INFO - Job 29: Subtask start_log_producer
[2025-05-31T19:55:09.414+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:55:09.457+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T19:50:00+00:00 [running]> on host fcc5407a0544
[2025-05-31T19:55:09.459+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T19:55:09.575+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T19:50:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T19:50:00+00:00'
[2025-05-31T19:55:09.576+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T19:55:09.602+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T19:55:09.605+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T19:55:09.616+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T19:55:10.628+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:55:10', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:55:11.691+0000] {job.py:229} INFO - Heartbeat recovered after 10.77 seconds
[2025-05-31T19:55:11.733+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:55:11', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:55:12.734+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:55:12', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:55:13.734+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:55:13', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:55:14.734+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:55:14', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:55:15.735+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:55:15', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T19:55:16.735+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:55:16', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:55:17.736+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:55:17', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:55:18.736+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:55:18', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:55:19.737+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:55:19', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T19:55:20.737+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:55:20', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:55:21.736+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:55:21', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T19:55:22.736+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:55:22', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T19:55:23.737+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:55:23', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T19:55:24.737+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:55:24', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T19:55:25.738+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:55:25', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T19:55:26.738+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 19:55:26', 'level': 'WARNING', 'message': 'Slow response time'}
