[2025-05-31T20:10:24.302+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T20:10:24.325+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T20:05:00+00:00 [queued]>
[2025-05-31T20:10:24.337+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T20:05:00+00:00 [queued]>
[2025-05-31T20:10:24.338+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T20:10:24.359+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 20:05:00+00:00
[2025-05-31T20:10:24.368+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=668) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T20:10:24.368+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T20:05:00+00:00', '--job-id', '31', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpmoj1ween']
[2025-05-31T20:10:24.370+0000] {standard_task_runner.py:72} INFO - Started process 669 to run task
[2025-05-31T20:10:24.371+0000] {standard_task_runner.py:105} INFO - Job 31: Subtask start_log_producer
[2025-05-31T20:10:24.391+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T20:10:24.431+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T20:05:00+00:00 [running]> on host fcc5407a0544
[2025-05-31T20:10:24.433+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T20:10:24.573+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T20:05:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T20:05:00+00:00'
[2025-05-31T20:10:24.574+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T20:10:24.656+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T20:10:24.658+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T20:10:24.671+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T20:10:27.860+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:10:27', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T20:10:28.990+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:10:28', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T20:10:29.990+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:10:29', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T20:10:31.018+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:10:31', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T20:10:32.019+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:10:32', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T20:10:33.019+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:10:33', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T20:10:34.020+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:10:34', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T20:10:35.019+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:10:35', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T20:10:36.019+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:10:36', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T20:10:37.019+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:10:37', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T20:10:38.020+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:10:38', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T20:10:39.020+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:10:39', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T20:10:40.021+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:10:40', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T20:10:41.021+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:10:41', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T20:10:42.022+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:10:42', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T20:10:43.022+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:10:43', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T20:10:44.023+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:10:44', 'level': 'INFO', 'message': 'User logged in'}
