[2025-05-31T20:15:01.279+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T20:15:01.297+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T20:10:00+00:00 [queued]>
[2025-05-31T20:15:01.308+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T20:10:00+00:00 [queued]>
[2025-05-31T20:15:01.309+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T20:15:01.330+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 20:10:00+00:00
[2025-05-31T20:15:01.338+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=713) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T20:15:01.340+0000] {standard_task_runner.py:72} INFO - Started process 714 to run task
[2025-05-31T20:15:01.338+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T20:10:00+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpdk5jx7c7']
[2025-05-31T20:15:01.341+0000] {standard_task_runner.py:105} INFO - Job 32: Subtask start_log_producer
[2025-05-31T20:15:01.780+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T20:15:01.882+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T20:10:00+00:00 [running]> on host fcc5407a0544
[2025-05-31T20:15:01.884+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T20:15:03.363+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T20:10:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T20:10:00+00:00'
[2025-05-31T20:15:03.364+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T20:15:03.647+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T20:15:04.006+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T20:15:04.053+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T20:15:10.776+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:15:10', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T20:15:11.938+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:15:11', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T20:15:12.938+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:15:12', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T20:15:13.939+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:15:13', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T20:15:14.939+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:15:14', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T20:15:15.939+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:15:15', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T20:15:16.940+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:15:16', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T20:15:17.940+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:15:17', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T20:15:18.941+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:15:18', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T20:15:19.941+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:15:19', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T20:15:20.942+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:15:20', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T20:15:21.942+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:15:21', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T20:15:22.943+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:15:22', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T20:15:23.943+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:15:23', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T20:15:24.944+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:15:24', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T20:15:25.944+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:15:25', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T20:15:26.944+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:15:26', 'level': 'INFO', 'message': 'Page loaded'}
