[2025-05-31T20:42:03.988+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T20:42:04.021+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T20:35:00+00:00 [queued]>
[2025-05-31T20:42:04.034+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T20:35:00+00:00 [queued]>
[2025-05-31T20:42:04.035+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T20:42:04.065+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 20:35:00+00:00
[2025-05-31T20:42:04.081+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=802) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T20:42:04.083+0000] {standard_task_runner.py:72} INFO - Started process 806 to run task
[2025-05-31T20:42:04.080+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T20:35:00+00:00', '--job-id', '35', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp5a1qfb1v']
[2025-05-31T20:42:04.085+0000] {standard_task_runner.py:105} INFO - Job 35: Subtask start_log_producer
[2025-05-31T20:42:04.764+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T20:42:16.971+0000] {job.py:229} INFO - Heartbeat recovered after 13.15 seconds
[2025-05-31T20:42:19.884+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T20:35:00+00:00 [running]> on host fcc5407a0544
[2025-05-31T20:42:19.887+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T20:42:23.160+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T20:35:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T20:35:00+00:00'
[2025-05-31T20:42:23.162+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T20:42:26.548+0000] {job.py:229} INFO - Heartbeat recovered after 11.13 seconds
[2025-05-31T20:42:27.349+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T20:42:27.380+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T20:42:27.535+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T20:42:54.779+0000] {job.py:229} INFO - Heartbeat recovered after 22.59 seconds
[2025-05-31T20:43:07.597+0000] {job.py:229} INFO - Heartbeat recovered after 29.15 seconds
[2025-05-31T20:43:16.403+0000] {job.py:229} INFO - Heartbeat recovered after 15.96 seconds
[2025-05-31T20:43:38.598+0000] {job.py:229} INFO - Heartbeat recovered after 23.97 seconds
[2025-05-31T20:43:46.196+0000] {job.py:229} INFO - Heartbeat recovered after 24.65 seconds
[2025-05-31T20:43:51.784+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:43:51', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T20:43:52.888+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:43:52', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T20:43:53.888+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:43:53', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T20:43:54.889+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:43:54', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T20:43:56.009+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:43:56', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T20:43:57.010+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:43:57', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T20:43:58.010+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:43:58', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T20:43:59.011+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:43:59', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T20:44:00.011+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:44:00', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T20:44:01.011+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:44:01', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T20:44:02.012+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:44:02', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T20:44:03.012+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:44:03', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T20:44:04.013+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:44:04', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T20:44:05.013+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:44:05', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T20:44:06.014+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:44:06', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
