[2025-05-31T20:45:18.769+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T20:45:18.898+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T20:40:00+00:00 [queued]>
[2025-05-31T20:45:18.911+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T20:40:00+00:00 [queued]>
[2025-05-31T20:45:18.911+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T20:45:19.228+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 20:40:00+00:00
[2025-05-31T20:45:19.412+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=835) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T20:45:19.438+0000] {standard_task_runner.py:72} INFO - Started process 836 to run task
[2025-05-31T20:45:19.787+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T20:40:00+00:00', '--job-id', '38', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmpv2nmrcwl']
[2025-05-31T20:45:20.047+0000] {standard_task_runner.py:105} INFO - Job 38: Subtask start_log_producer
[2025-05-31T20:45:29.477+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T20:45:29.771+0000] {job.py:229} INFO - Heartbeat recovered after 11.46 seconds
[2025-05-31T20:45:30.524+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T20:40:00+00:00 [running]> on host fcc5407a0544
[2025-05-31T20:45:30.525+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T20:45:31.524+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T20:40:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T20:40:00+00:00'
[2025-05-31T20:45:31.525+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T20:45:31.655+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T20:45:31.657+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T20:45:31.668+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T20:45:34.357+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:34', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T20:45:35.461+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:35', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T20:45:36.461+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:36', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T20:45:37.462+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:37', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T20:45:38.462+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:38', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T20:45:39.463+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:39', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T20:45:40.580+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:40', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T20:45:41.580+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:41', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T20:45:42.581+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:42', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T20:45:43.581+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:43', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T20:45:44.582+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:44', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T20:45:45.582+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:45', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T20:45:46.582+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:46', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T20:45:47.604+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:47', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T20:45:48.605+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:48', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T20:45:49.604+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:49', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T20:45:50.643+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:50', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T20:45:51.644+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:51', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T20:45:52.644+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:52', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T20:45:53.644+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:53', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T20:45:54.645+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:54', 'level': 'INFO', 'message': 'User logged in'}
[2025-05-31T20:45:55.645+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:55', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T20:45:56.646+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:56', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T20:45:57.646+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:57', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T20:45:58.647+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:45:58', 'level': 'INFO', 'message': 'User logged in'}
