[2025-05-31T20:50:03.023+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-31T20:50:03.040+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T20:45:00+00:00 [queued]>
[2025-05-31T20:50:03.049+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T20:45:00+00:00 [queued]>
[2025-05-31T20:50:03.050+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2025-05-31T20:50:03.688+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): start_log_producer> on 2025-05-31 20:45:00+00:00
[2025-05-31T20:50:03.936+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=882) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-05-31T20:50:04.072+0000] {standard_task_runner.py:72} INFO - Started process 883 to run task
[2025-05-31T20:50:04.073+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'log_monitoring_dag', 'start_log_producer', 'scheduled__2025-05-31T20:45:00+00:00', '--job-id', '39', '--raw', '--subdir', 'DAGS_FOLDER/log_monitoring_dag.py', '--cfg-path', '/tmp/tmp_9_038hs']
[2025-05-31T20:50:04.114+0000] {standard_task_runner.py:105} INFO - Job 39: Subtask start_log_producer
[2025-05-31T20:50:16.452+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T20:50:16.775+0000] {task_command.py:467} INFO - Running <TaskInstance: log_monitoring_dag.start_log_producer scheduled__2025-05-31T20:45:00+00:00 [running]> on host fcc5407a0544
[2025-05-31T20:50:16.777+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:470 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-05-31T20:50:16.875+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='log_monitoring_dag' AIRFLOW_CTX_TASK_ID='start_log_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-31T20:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-31T20:45:00+00:00'
[2025-05-31T20:50:16.876+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-31T20:50:16.910+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-05-31T20:50:16.912+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/***/app && python -u log_producer.py']
[2025-05-31T20:50:16.924+0000] {subprocess.py:86} INFO - Output:
[2025-05-31T20:50:24.045+0000] {job.py:229} INFO - Heartbeat recovered after 21.25 seconds
[2025-05-31T20:50:35.213+0000] {job.py:229} INFO - Heartbeat recovered after 11.40 seconds
[2025-05-31T20:50:48.201+0000] {job.py:229} INFO - Heartbeat recovered after 13.03 seconds
[2025-05-31T20:50:49.123+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:50:49', 'level': 'ERROR', 'message': 'Database connection failed'}
[2025-05-31T20:50:50.225+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:50:50', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T20:50:51.225+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:50:51', 'level': 'INFO', 'message': 'Page loaded'}
[2025-05-31T20:50:52.226+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:50:52', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T20:50:53.226+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:50:53', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T20:50:54.227+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:50:54', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T20:50:55.227+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:50:55', 'level': 'INFO', 'message': 'Search executed'}
[2025-05-31T20:50:56.228+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:50:56', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T20:50:57.228+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:50:57', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T20:50:58.229+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:50:58', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T20:50:59.229+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:50:59', 'level': 'WARNING', 'message': 'Slow response time'}
[2025-05-31T20:51:00.229+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:51:00', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T20:51:01.230+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:51:01', 'level': 'ERROR', 'message': 'Payment gateway timeout'}
[2025-05-31T20:51:02.231+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:51:02', 'level': 'WARNING', 'message': 'High memory usage'}
[2025-05-31T20:51:03.231+0000] {subprocess.py:93} INFO - Sending log: {'timestamp': '2025-05-31 20:51:03', 'level': 'INFO', 'message': 'User logged in'}
